X,Y,location,invasive,native,naturalized,endemic
121.53369,25.016076,L2,19,126,0,38
121.53398,25.016521,K3,19,263,0,56
121.53398,25.016521,L1,23,143,0,50
121.53462,25.014675,K2,5,118,0,28
121.5346341,25.01867422,B3,30,175,0,11
121.5347947,25.0212929,A1,27,152,0,12
121.5349048,25.01957252,B2,90,221,0,38
121.5353778,25.0207351,B1,78,205,0,7
121.5360712,25.02130465,A2,50,215,0,11
121.53665,25.014958,K1,1,103,0,36
121.5367,25.016861,L3,21,167,0,43
121.536997,25.013734,J3,20,251,0,72
121.5371876,25.0209269,C1,56,136,67,14
121.5372235,25.0199483,C2,57,128,11,28
121.5374431,25.0192368,C3,40,125,3,43
121.5374513,25.02196813,A3,26,101,0,8
121.537476,25.0135361,J2,16,222,0,59
121.5379333,25.015429,I2,12,211,0,59
121.5380392,25.0203083,D1,94,100,221,22
121.538635,25.020668,D2,13,37,0,21
121.5387396,25.01569,I1,8,173,0,59
121.5387473,25.0136309,J1,17,174,0,62
121.539154,25.0144999,I3,33,185,0,77
121.53967,25.01611,H2,139,172,0,125
121.53967,25.01611,H3,91,152,0,191
121.5397096,25.0196594,D3,6,92,0,29
121.53977,25.01728,H1,90,248,0,94
121.54193,25.01773,G2,36,206,0,115
121.54222,25.01647,G1,28,116,0,116
121.54222,25.01647,G3,85,215,0,143
121.542311,25.020043,E1,55,200,0,41
121.543228,25.018661,F1,46,129,0,91
121.543579,25.019495,E3,43,140,0,50
121.543946,25.020003,E2,32,146,0,64
121.543989,25.017884,F2,30,122,0,46
121.545201,25.018438,F3,22,131,0,71
