X,Y,Location,Shannon Diversity Index,Shannon Diversity,Invasive,Native,Naturalized,Endemic
121.53369,25.016076,L2,0.7948628501269186,2.456954814339694,19.0,126.0,0.0,38.0
121.53398,25.016521,K3,0.7441995720237241,2.3334334535773356,19.0,263.0,0.0,56.0
121.53398,25.016521,L1,0.8139629270561306,2.4384150100585233,23.0,143.0,0.0,50.0
121.53462,25.014675,K2,0.7528449143905654,2.2553218070208083,5.0,118.0,0.0,28.0
121.53463409232985,25.01867421675,B3,0.6756955939493197,1.9895444448753963,30.0,175.0,0.0,11.0
121.53479467001416,25.02129290223,A1,0.7953879189277255,2.253503665607136,27.0,152.0,0.0,12.0
121.53490482450613,25.01957252237,B2,0.7756696473540801,2.28391194462564,90.0,221.0,0.0,38.0
121.53537784085398,25.02073510253,B1,0.752570260306884,2.0379980447676,78.0,205.0,0.0,7.0
121.5360711661858,25.02130464536,A2,0.7532913099076156,1.932154061328898,50.0,215.0,0.0,11.0
121.53665,25.014958,K1,0.7363765117761756,2.1284018728159504,1.0,103.0,0.0,36.0
121.5367,25.016861,L3,0.7980087616188953,2.26092907209243,21.0,167.0,0.0,43.0
121.536997,25.013734,J3,0.8184109089216622,2.4517399728852793,20.0,251.0,0.0,72.0
121.5371876,25.0209269,C1,0.8496305439872697,2.800243669356556,56.0,136.0,67.0,14.0
121.5372235,25.0199483,C2,0.8247175956112512,2.5858972508140736,57.0,128.0,11.0,28.0
121.5374431,25.0192368,C3,0.8301457567886878,2.5273973831240517,40.0,125.0,3.0,43.0
121.53745133717337,25.02196813006,A3,0.7643437461501942,2.2505635196467306,26.0,101.0,0.0,8.0
121.537476,25.0135361,J2,0.7750828519697308,2.3958140003084774,16.0,222.0,0.0,59.0
121.5379333,25.015429,I2,0.7895107464918937,2.4036831825183396,12.0,211.0,0.0,59.0
121.5380392,25.0203083,D1,0.6989575471256959,2.2498575510520786,94.0,100.0,221.0,22.0
121.538635,25.020668,D2,0.8801843657120043,2.4403892458648784,13.0,37.0,0.0,21.0
121.5387396,25.01569,I1,0.6809297122341269,2.0049559867747506,8.0,173.0,0.0,59.0
121.5387473,25.0136309,J1,0.7511116604566375,2.3870732895332223,17.0,174.0,0.0,62.0
121.539154,25.0144999,I3,0.7561378042058559,2.3020785109156487,33.0,185.0,0.0,77.0
121.53967,25.01611,H2,0.82810043037477,2.480767185017648,139.0,172.0,0.0,125.0
121.53967,25.01611,H3,0.7403137879320844,2.3212496000336498,91.0,152.0,0.0,191.0
121.5397096,25.0196594,D3,0.8510643972276924,2.5059071849780086,6.0,92.0,0.0,29.0
121.53977,25.01728,H1,0.6897564355816866,2.066325614963623,90.0,248.0,0.0,94.0
121.54193,25.01773,G2,0.8410980417645718,2.476561859472168,36.0,206.0,0.0,115.0
121.54222,25.01647,G1,0.8087846179809004,2.3814169549332016,28.0,116.0,0.0,116.0
121.54222,25.01647,G3,0.7365907432879721,2.3409250331051803,85.0,215.0,0.0,143.0
121.542311,25.020043,E1,0.731344426961999,2.19091210293391,55.0,200.0,0.0,41.0
121.543228,25.018661,F1,0.8748874042115021,2.4257029501464475,46.0,129.0,0.0,91.0
121.543579,25.019495,E3,0.8983845141001776,2.545314993442083,43.0,140.0,0.0,50.0
121.543946,25.020003,E2,0.8432562121934801,2.6065407509481755,32.0,146.0,0.0,64.0
121.543989,25.017884,F2,0.8246217563616779,2.3834634355345257,30.0,122.0,0.0,46.0
121.545201,25.018438,F3,0.7880493022284408,2.184936607927504,22.0,131.0,0.0,71.0
